"","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype","description"
"ABCA4","ABCA4","ENSG00000198691",24,"protein_coding","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]"
"ABL1","ABL1","ENSG00000097007",25,"protein_coding","ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"
"AOC1","AOC1","ENSG00000002726",26,"protein_coding","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
"ABL2","ABL2","ENSG00000143322",27,"protein_coding","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
"ABO","ABO","ENSG00000281879",28,"protein_coding","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]"
"ABR","ABR","ENSG00000276016",29,"protein_coding","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]"
"ACAA1","ACAA1","ENSG00000060971",30,"protein_coding","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]"
"ACACA","ACACA","ENSG00000278540",31,"protein_coding","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]"
"ACACB","ACACB","ENSG00000076555",32,"protein_coding","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]"
"ACADL","ACADL","ENSG00000115361",33,"protein_coding","acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]"
"ACADM","ACADM","ENSG00000117054",34,"protein_coding","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
"ACADS","ACADS","ENSG00000122971",35,"protein_coding","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]"
"ACADSB","ACADSB","ENSG00000196177",36,"protein_coding","acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]"
"ACADVL","ACADVL","ENSG00000072778",37,"protein_coding","acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]"
"ACAT1","ACAT1","ENSG00000075239",38,"protein_coding","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]"
"ACAT2","ACAT2","ENSG00000120437",39,"protein_coding","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]"
"ASIC2","ASIC2","ENSG00000108684",40,"protein_coding","acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]"
"ASIC1","ASIC1","ENSG00000110881",41,"protein_coding","acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]"
"ACHE","ACHE","ENSG00000087085",43,"protein_coding","acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]"
"ACLY","ACLY","ENSG00000131473",47,"protein_coding","ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]"
"ACO1","ACO1","ENSG00000122729",48,"protein_coding","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]"
"ACR","ACR","ENSG00000291368",49,"protein_coding","acrosin [Source:HGNC Symbol;Acc:HGNC:126]"
"ACO2","ACO2","ENSG00000100412",50,"protein_coding","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]"
"ACOX1","ACOX1","ENSG00000161533",51,"protein_coding","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]"
"ACP1","ACP1","ENSG00000143727",52,"protein_coding","acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]"
"ACP2","ACP2","ENSG00000134575",53,"protein_coding","acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"
"ACP5","ACP5","ENSG00000102575",54,"protein_coding","acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"
"ACPP",NA,NA,NA,NA,NA
"ACRV1","ACRV1","ENSG00000134940",56,"protein_coding","acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]"
"ACTA1","ACTA1","ENSG00000143632",58,"protein_coding","actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
"ACTA2","ACTA2","ENSG00000107796",59,"protein_coding","actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"ACTB","ACTB","ENSG00000075624",60,"protein_coding","actin beta [Source:HGNC Symbol;Acc:HGNC:132]"
"ACTC1","ACTC1","ENSG00000159251",70,"protein_coding","actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]"
"ACTG1","ACTG1","ENSG00000291420",71,"protein_coding","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]"
"ACTG2","ACTG2","ENSG00000163017",72,"protein_coding","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
"ACTN4","ACTN4","ENSG00000282844",81,"protein_coding","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]"
"ACTL6A","ACTL6A","ENSG00000136518",86,"protein_coding","actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]"
"ACTN1","ACTN1","ENSG00000072110",87,"protein_coding","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"ACTN2","ACTN2","ENSG00000077522",88,"protein_coding","actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]"
"ACTN3","ACTN3","ENSG00000248746",89,"protein_coding","actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]"
"ACVR1","ACVR1","ENSG00000115170",90,"protein_coding","activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]"
"ACVR1B","ACVR1B","ENSG00000135503",91,"protein_coding","activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]"
"ACVR2A","ACVR2A","ENSG00000121989",92,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"ACVR2B","ACVR2B","ENSG00000114739",93,"protein_coding","activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]"
"ACVRL1","ACVRL1","ENSG00000139567",94,"protein_coding","activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]"
"ACY1","ACY1","ENSG00000243989",95,"protein_coding","aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]"
"ACYP1","ACYP1","ENSG00000119640",97,"protein_coding","acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]"
"ACYP2","ACYP2","ENSG00000170634",98,"protein_coding","acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]"
"ADA","ADA","ENSG00000196839",100,"protein_coding","adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]"
"ADAM8","ADAM8","ENSG00000151651",101,"protein_coding","ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]"
"ADAM10","ADAM10","ENSG00000137845",102,"protein_coding","ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]"
"ADAR","ADAR","ENSG00000160710",103,"protein_coding","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]"
"ADARB1","ADARB1","ENSG00000197381",104,"protein_coding","adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]"
"ADARB2","ADARB2","ENSG00000185736",105,"protein_coding","adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]"
"ADCY1","ADCY1","ENSG00000164742",107,"protein_coding","adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]"
"ADCY2","ADCY2","ENSG00000078295",108,"protein_coding","adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]"
"ADCY3","ADCY3","ENSG00000138031",109,"protein_coding","adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]"
"ADCY5","ADCY5","ENSG00000173175",111,"protein_coding","adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]"
"ADCY6","ADCY6","ENSG00000174233",112,"protein_coding","adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]"
"ADCY7","ADCY7","ENSG00000121281",113,"protein_coding","adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]"
"ADCY8","ADCY8","ENSG00000155897",114,"protein_coding","adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]"
"ADCY9","ADCY9","ENSG00000162104",115,"protein_coding","adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]"
"ADCYAP1","ADCYAP1","ENSG00000141433",116,"protein_coding","adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]"
"ADCYAP1R1","ADCYAP1R1","ENSG00000078549",117,"protein_coding","ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]"
"ADD1","ADD1","ENSG00000087274",118,"protein_coding","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]"
"ADD2","ADD2","ENSG00000075340",119,"protein_coding","adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
"ADD3","ADD3","ENSG00000148700",120,"protein_coding","adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]"
"PLIN2","PLIN2","ENSG00000147872",123,"protein_coding","perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]"
"ADH1A","ADH1A","ENSG00000187758",124,"protein_coding","alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]"
"ADH1B","ADH1B","ENSG00000196616",125,"protein_coding","alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]"
"ADH1C","ADH1C","ENSG00000248144",126,"protein_coding","alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
"ADH4","ADH4","ENSG00000198099",127,"protein_coding","alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]"
"ADH5","ADH5","ENSG00000197894",128,"protein_coding","alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]"
"ADH6","ADH6","ENSG00000172955",130,"protein_coding","alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]"
"ADH7","ADH7","ENSG00000196344",131,"protein_coding","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]"
"ADK","ADK","ENSG00000156110",132,"protein_coding","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]"
"ADM","ADM","ENSG00000148926",133,"protein_coding","adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]"
"ADORA1","ADORA1","ENSG00000163485",134,"protein_coding","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]"
"ADORA2A","ADORA2A","ENSG00000128271",135,"protein_coding","adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]"
"ADORA2B","ADORA2B","ENSG00000170425",136,"protein_coding","adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]"
"ADORA3","ADORA3","ENSG00000282608",140,"protein_coding","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]"
"ADPRH","ADPRH","ENSG00000144843",141,"protein_coding","ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]"
"PARP1","PARP1","ENSG00000143799",142,"protein_coding","poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]"
"PARP4","PARP4","ENSG00000102699",143,"protein_coding","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]"
"ADRA1D","ADRA1D","ENSG00000171873",146,"protein_coding","adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]"
"ADRA1B","ADRA1B","ENSG00000170214",147,"protein_coding","adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]"
"ADRA1A","ADRA1A","ENSG00000120907",148,"protein_coding","adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]"
"ADRA2A","ADRA2A","ENSG00000150594",150,"protein_coding","adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]"
"ADRA2B","ADRA2B","ENSG00000274286",151,"protein_coding","adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]"
"ADRA2C","ADRA2C","ENSG00000184160",152,"protein_coding","adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]"
"ADRB1","ADRB1","ENSG00000043591",153,"protein_coding","adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]"
"ADRB2","ADRB2","ENSG00000169252",154,"protein_coding","adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]"
"ADRB3","ADRB3","ENSG00000188778",155,"protein_coding","adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]"
"GRK2","GRK2","ENSG00000173020",156,"protein_coding","G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]"
"GRK3","GRK3","ENSG00000100077",157,"protein_coding","G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]"
"ADSL","ADSL","ENSG00000239900",158,"protein_coding","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]"
"ADSS",NA,NA,NA,NA,NA
"AP2A1","AP2A1","ENSG00000196961",160,"protein_coding","adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]"
"AP2A2","AP2A2","ENSG00000281385",161,"protein_coding","adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]"
"AP1B1","AP1B1","ENSG00000100280",162,"protein_coding","adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]"
"AP2B1","AP2B1","ENSG00000006125",163,"protein_coding","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"AP1G1","AP1G1","ENSG00000166747",164,"protein_coding","adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]"
"AEBP1","AEBP1","ENSG00000106624",165,"protein_coding","AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]"
"TLE5","TLE5","ENSG00000104964",166,"protein_coding","TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]"
"CRISP1","CRISP1","ENSG00000124812",167,"protein_coding","cysteine rich secretory protein 1 [Source:HGNC Symbol;Acc:HGNC:304]"
"AFG3L1P","AFG3L1P","ENSG00000223959",NA,"transcribed_unitary_pseudogene","AFG3 like matrix AAA peptidase subunit 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:314]"
"AFM","AFM","ENSG00000079557",173,"protein_coding","afamin [Source:HGNC Symbol;Acc:HGNC:316]"
"AFP","AFP","ENSG00000081051",174,"protein_coding","alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]"
"AGA","AGA","ENSG00000038002",175,"protein_coding","aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]"
"ACAN","ACAN","ENSG00000157766",176,"protein_coding","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]"
"AGER","AGER","ENSG00000204305",177,"protein_coding","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"AGL","AGL","ENSG00000162688",178,"protein_coding","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"
"AGRP","AGRP","ENSG00000159723",181,"protein_coding","agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]"
"JAG1","JAG1","ENSG00000101384",182,"protein_coding","jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]"
"AGT","AGT","ENSG00000135744",183,"protein_coding","angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]"
"AGTR1","AGTR1","ENSG00000144891",185,"protein_coding","angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]"
"AGTR2","AGTR2","ENSG00000180772",186,"protein_coding","angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]"
"APLNR","APLNR","ENSG00000134817",187,"protein_coding","apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]"
"AGXT","AGXT","ENSG00000172482",189,"protein_coding","alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]"
"NR0B1","NR0B1","ENSG00000169297",190,"protein_coding","nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]"
"AHCY","AHCY","ENSG00000101444",191,"protein_coding","adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]"
"AHR","AHR","ENSG00000106546",196,"protein_coding","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]"
"AHSG","AHSG","ENSG00000145192",197,"protein_coding","alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]"
"AIF1","AIF1","ENSG00000204472",199,"protein_coding","allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]"
"CRYBG1","CRYBG1","ENSG00000112297",202,"protein_coding","crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]"
"AK1","AK1","ENSG00000106992",203,"protein_coding","adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]"
"AK2","AK2","ENSG00000004455",204,"protein_coding","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]"
"AK4","AK4","ENSG00000162433",205,"protein_coding","adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]"
"AKT1","AKT1","ENSG00000142208",207,"protein_coding","AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
"AKT2","AKT2","ENSG00000105221",208,"protein_coding","AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]"
"ALAD","ALAD","ENSG00000148218",210,"protein_coding","aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]"
"ALAS1","ALAS1","ENSG00000023330",211,"protein_coding","5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]"
"ALAS2","ALAS2","ENSG00000158578",212,"protein_coding","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]"
"ALB","ALB","ENSG00000163631",213,"protein_coding","albumin [Source:HGNC Symbol;Acc:HGNC:399]"
"ALCAM","ALCAM","ENSG00000170017",214,"protein_coding","activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]"
"ABCD1","ABCD1","ENSG00000101986",215,"protein_coding","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]"
"ALDH1A1","ALDH1A1","ENSG00000165092",216,"protein_coding","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]"
"ALDH2","ALDH2","ENSG00000111275",217,"protein_coding","aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]"
"ALDH3A1","ALDH3A1","ENSG00000108602",218,"protein_coding","aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]"
"ALDH1B1","ALDH1B1","ENSG00000137124",219,"protein_coding","aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]"
"ALDH1A3","ALDH1A3","ENSG00000184254",220,"protein_coding","aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]"
"ALDH3B1","ALDH3B1","ENSG00000006534",221,"protein_coding","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"ALDH3B2","ALDH3B2","ENSG00000132746",222,"protein_coding","aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]"
"ALDH9A1","ALDH9A1","ENSG00000143149",223,"protein_coding","aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]"
"ALDH3A2","ALDH3A2","ENSG00000072210",224,"protein_coding","aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]"
"ABCD2","ABCD2","ENSG00000173208",225,"protein_coding","ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]"
"ALDOA","ALDOA","ENSG00000149925",226,"protein_coding","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
"ALDOB","ALDOB","ENSG00000136872",229,"protein_coding","aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"
"ALDOC","ALDOC","ENSG00000109107",230,"protein_coding","aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"
"AKR1B1","AKR1B1","ENSG00000085662",231,"protein_coding","aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]"
"ALK","ALK","ENSG00000171094",238,"protein_coding","ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]"
"ALOX12","ALOX12","ENSG00000108839",239,"protein_coding","arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]"
"ALOX5","ALOX5","ENSG00000275565",240,"protein_coding","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]"
"ALOX5AP","ALOX5AP","ENSG00000132965",241,"protein_coding","arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]"
"ALOX12B","ALOX12B","ENSG00000179477",242,"protein_coding","arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]"
"ALOX12P2","ALOX12P2","ENSG00000262943",NA,"transcribed_unprocessed_pseudogene","arachidonate 12-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:432]"
"ALOX15","ALOX15","ENSG00000161905",246,"protein_coding","arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]"
"ALOX15B","ALOX15B","ENSG00000179593",247,"protein_coding","arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]"
"ALPI","ALPI","ENSG00000163295",248,"protein_coding","alkaline phosphatase, intestinal [Source:HGNC Symbol;Acc:HGNC:437]"
"ALPL","ALPL","ENSG00000162551",249,"protein_coding","alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]"
"ALPP","ALPP","ENSG00000163283",250,"protein_coding","alkaline phosphatase, placental [Source:HGNC Symbol;Acc:HGNC:439]"
"ALPG","ALPG","ENSG00000163286",251,"protein_coding","alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]"
"ALX3","ALX3","ENSG00000156150",257,"protein_coding","ALX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:449]"
"AMBN","AMBN","ENSG00000178522",258,"protein_coding","ameloblastin [Source:HGNC Symbol;Acc:HGNC:452]"
"AMBP","AMBP","ENSG00000106927",259,"protein_coding","alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]"
"AMD1","AMD1","ENSG00000123505",262,"protein_coding","adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]"
"AMELX","AMELX","ENSG00000125363",265,"protein_coding","amelogenin X-linked [Source:HGNC Symbol;Acc:HGNC:461]"
"AMELY","AMELY","ENSG00000099721",266,"protein_coding","amelogenin Y-linked [Source:HGNC Symbol;Acc:HGNC:462]"
"AMFR","AMFR","ENSG00000159461",267,"protein_coding","autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]"
"AMH","AMH","ENSG00000104899",268,"protein_coding","anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]"
"AMHR2","AMHR2","ENSG00000135409",269,"protein_coding","anti-Mullerian hormone receptor type 2 [Source:HGNC Symbol;Acc:HGNC:465]"
"AMPD1","AMPD1","ENSG00000116748",270,"protein_coding","adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]"
"AMPD2","AMPD2","ENSG00000116337",271,"protein_coding","adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]"
"AMPD3","AMPD3","ENSG00000133805",272,"protein_coding","adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]"
"AMPH","AMPH","ENSG00000078053",273,"protein_coding","amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]"
"BIN1","BIN1","ENSG00000136717",274,"protein_coding","bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]"
"AMT","AMT","ENSG00000145020",275,"protein_coding","aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]"
"AMY1A","AMY1A","ENSG00000237763",276,"protein_coding","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]"
"AMY1B","AMY1B","ENSG00000174876",277,"protein_coding","amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]"
"AMY2A","AMY2A","ENSG00000243480",279,"protein_coding","amylase alpha 2A [Source:HGNC Symbol;Acc:HGNC:477]"
"AMY2B","AMY2B","ENSG00000240038",280,"protein_coding","amylase alpha 2B [Source:HGNC Symbol;Acc:HGNC:478]"
"ANG","ANG","ENSG00000214274",283,"protein_coding","angiogenin [Source:HGNC Symbol;Acc:HGNC:483]"
"ANGPT1","ANGPT1","ENSG00000154188",284,"protein_coding","angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]"
"ANGPT2","ANGPT2","ENSG00000091879",285,"protein_coding","angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]"
